"scenario","replicate","mean_diff","ci_lower","ci_upper","credible","correct_direction"
"null",1,-0.00409400550021544,-0.0148146092717793,0.00666376014090303,FALSE,FALSE
"null",2,-0.00142211108997984,-0.0121165945838149,0.00930739536159281,FALSE,FALSE
"null",3,0.0270698715142895,0.0164278403392964,0.0377189754544387,TRUE,TRUE
"null",4,0.0119352795110172,0.00150986900141722,0.0226355396850228,TRUE,TRUE
"null",5,0.000128135147666783,-0.0106154932516086,0.01067401428539,FALSE,FALSE
"null",6,0.000474706468067691,-0.00997221741283356,0.0110415221776418,FALSE,FALSE
"null",7,-0.00787800373471498,-0.0184228159298026,0.00272541186970839,FALSE,FALSE
"null",8,-0.00115918607565088,-0.0116528890946604,0.00962195552934408,FALSE,FALSE
"null",9,0.0146671272721583,0.00407472907208335,0.0251684187655674,TRUE,TRUE
"null",10,0.0104638270108402,-0.000208609826378278,0.0208444571233942,FALSE,FALSE
"null",11,0.00293013123969605,-0.00749360135519036,0.0133922653586272,FALSE,FALSE
"null",12,-0.000928444639512844,-0.0114275270570948,0.00958323670395246,FALSE,FALSE
"null",13,0.0144193407212161,0.00385408826208021,0.0250561575294858,TRUE,TRUE
"null",14,0.0091608295109247,-0.00161752042785895,0.019852007546328,FALSE,FALSE
"null",15,0.0051618717434611,-0.00552737982318654,0.0156495979109696,FALSE,FALSE
"null",16,-0.0208788085597545,-0.0313952331945966,-0.010458301067121,TRUE,FALSE
"null",17,0.0146486116669827,0.00407575569650452,0.0254206788314843,TRUE,TRUE
"null",18,5.19762089201663e-05,-0.0105543826263338,0.0107903474332252,FALSE,FALSE
"null",19,0.0186388482608781,0.00820335338663158,0.0291562724150403,TRUE,TRUE
"null",20,-0.00286474614563216,-0.0134660283764866,0.00774619765267083,FALSE,FALSE
"null",21,0.00547374139018097,-0.0051488445995585,0.0161441152553424,FALSE,FALSE
"null",22,-0.00331391289575547,-0.014071721663408,0.00730632665551446,FALSE,FALSE
"null",23,0.00806004762820683,-0.0025080755181356,0.0187697250686131,FALSE,FALSE
"null",24,-0.00178380892018889,-0.0123814326288498,0.0089528740381502,FALSE,FALSE
"null",25,0.00813372637565466,-0.00254736430679822,0.0186315982634473,FALSE,FALSE
"null",26,0.0200877657598678,0.00943662038472903,0.0306786221280602,TRUE,TRUE
"null",27,-0.0011650973534095,-0.0117893724068611,0.00939839972759416,FALSE,FALSE
"null",28,-0.0051971127547385,-0.0156963860632729,0.00534349144511399,FALSE,FALSE
"null",29,0.00395174280653468,-0.00662752816271706,0.0145390507274366,FALSE,FALSE
"null",30,-0.0152030405648599,-0.0258787563326696,-0.00453678860239131,TRUE,FALSE
"effect",1,0.0703760821382947,0.0596326098227548,0.0810460905048341,TRUE,TRUE
"effect",2,0.0372711665031069,0.0268553684510353,0.0478880507161165,TRUE,TRUE
"effect",3,0.0360923702823584,0.0255616308846062,0.046810198753179,TRUE,TRUE
"effect",4,0.0450656999323564,0.0344152640250751,0.055782380692116,TRUE,TRUE
"effect",5,0.0600734125708289,0.0494154522919194,0.0707885393440856,TRUE,TRUE
"effect",6,0.0574165009356059,0.0467657945415425,0.0680629940986369,TRUE,TRUE
"effect",7,0.0561685561402558,0.0455643676420585,0.0667140647423976,TRUE,TRUE
"effect",8,0.0126555205374107,0.0019311349576316,0.02322007353498,TRUE,TRUE
"effect",9,0.052999617784564,0.0423310503223851,0.063684498498267,TRUE,TRUE
"effect",10,0.015428417035581,0.00499687680679045,0.0260079047595496,TRUE,TRUE
"effect",11,0.0293616065659997,0.0187284353350748,0.0399441617327608,TRUE,TRUE
"effect",12,0.0313245335806375,0.0207802847875687,0.0418283882246829,TRUE,TRUE
"effect",13,0.0291301872787092,0.0184901788588802,0.0397654075653085,TRUE,TRUE
"effect",14,0.0451165943733122,0.0345022845407746,0.0557056088559236,TRUE,TRUE
"effect",15,0.0640440323307576,0.0535244764160466,0.0747730618898817,TRUE,TRUE
"effect",16,0.0346851504210542,0.0239736699757538,0.0454068186551093,TRUE,TRUE
"effect",17,0.0414040148532097,0.0305629579843947,0.051994952362147,TRUE,TRUE
"effect",18,0.0266696576833492,0.0160001686267364,0.0373406779346035,TRUE,TRUE
"effect",19,0.0311312330299985,0.0206068498574505,0.041732858952341,TRUE,TRUE
"effect",20,0.0265656060406408,0.0158909022388454,0.0371065099653133,TRUE,TRUE
"effect",21,0.0377803778785666,0.0272739194643139,0.0484856825740538,TRUE,TRUE
"effect",22,0.0421819346694491,0.0314805304959958,0.0528935354317008,TRUE,TRUE
"effect",23,0.0733524680392352,0.0626184301159563,0.0838826996460299,TRUE,TRUE
"effect",24,0.0308187052029205,0.0201498890351108,0.041384982342552,TRUE,TRUE
"effect",25,0.042469303684031,0.0319164526858066,0.0531891937543832,TRUE,TRUE
"effect",26,0.066301955090201,0.0556397510412282,0.0769339574468234,TRUE,TRUE
"effect",27,0.046774898390884,0.0360035026283616,0.0573749106852376,TRUE,TRUE
"effect",28,0.077731629892633,0.0670887322992929,0.088406190559501,TRUE,TRUE
"effect",29,0.063345464362574,0.052856211851191,0.0740124731219638,TRUE,TRUE
"effect",30,0.0390814775799386,0.0283665555007218,0.049536877775002,TRUE,TRUE
