"group","n_total","n_intra","n_transition","pct_transition"
"H.E",466,368,98,21.0300429184549
"H.R",472,364,108,22.8813559322034
"S.E",513,404,109,21.2475633528265
"S.R",496,392,104,20.9677419354839
