"threshold","precision","recall"
0.02,0.0848484848484849,1
0.04,0.0942760942760943,1
0.06,0.111111111111111,1
0.08,0.12962962962963,1
0.1,0.145077720207254,1
0.12,0.166666666666667,1
0.14,0.179487179487179,1
0.16,0.197183098591549,1
0.18,0.212121212121212,1
0.2,0.225806451612903,1
0.22,0.23728813559322,1
0.24,0.247787610619469,1
0.26,0.264150943396226,1
0.28,0.28,1
0.3,0.294736842105263,1
0.32,0.311111111111111,1
0.34,0.32183908045977,1
0.36,0.333333333333333,1
0.38,0.341463414634146,1
0.4,0.345679012345679,1
0.42,0.354430379746835,1
0.44,0.358974358974359,1
0.46,0.363636363636364,1
0.48,0.373333333333333,1
0.5,0.378378378378378,1
0.52,0.383561643835616,1
0.54,0.388888888888889,1
0.56,0.405797101449275,1
0.58,0.40625,0.928571428571429
0.6,0.419354838709677,0.928571428571429
0.62,0.426229508196721,0.928571428571429
0.64,0.433333333333333,0.928571428571429
0.66,0.440677966101695,0.928571428571429
0.68,0.440677966101695,0.928571428571429
0.7,0.454545454545455,0.892857142857143
0.72,0.471698113207547,0.892857142857143
0.74,0.471698113207547,0.892857142857143
0.76,0.480769230769231,0.892857142857143
0.78,0.48,0.857142857142857
0.8,0.479166666666667,0.821428571428571
0.82,0.522727272727273,0.821428571428571
0.84,0.475,0.678571428571429
0.86,0.486486486486487,0.642857142857143
0.88,0.485714285714286,0.607142857142857
0.9,0.451612903225806,0.5
0.92,0.428571428571429,0.428571428571429
0.94,0.4,0.357142857142857
0.96,0.421052631578947,0.285714285714286
0.98,0.428571428571429,0.214285714285714
1,0.2,0.0357142857142857
