"H.E","H.R","S.E","S.R"
0.886465678670048,0.907365015146679,0.883753141381011,0.921111781321896
0.885118489181059,0.907630404540849,0.885944019568563,0.917557535575051
0.884715061249858,0.907023232222074,0.885806929855992,0.917875632937315
0.885057902572681,0.906408137457787,0.885501286217759,0.920711049712088
0.885797240089265,0.90503703984409,0.887754697673725,0.920227421979937
0.883225755306265,0.906581788143996,0.885567548280103,0.918790501681992
0.885780753280311,0.907694495559141,0.886173718605267,0.921040216985376
0.882171909535818,0.90616947273202,0.885231413346135,0.921369133393393
0.885734830939325,0.90754173141009,0.884850251030791,0.920273945981896
0.883608622304818,0.907021825045405,0.887269985494664,0.920432021612296
0.887797579952976,0.906762354012284,0.884453603440606,0.918103657070017
0.886046267478677,0.907111017007799,0.882025989662291,0.920439719978136
0.885836362481928,0.906733844493849,0.885877957896213,0.919603910297016
0.884710345434236,0.907424757340247,0.88173641702962,0.919857915057323
0.886054182988536,0.90549522710083,0.886425194436122,0.920018320907789
0.883581190851153,0.90860514270804,0.885981057975318,0.919745090120547
0.886086641823615,0.906806303690678,0.88482483138347,0.918623595392646
0.885891930770826,0.906678000650533,0.884785583759073,0.921759308245677
0.883768460541561,0.907025147650979,0.885024955410383,0.919600913284251
0.886267252693622,0.905490402977935,0.885082167337249,0.919509637470077
0.886015120356794,0.908777913309179,0.885420050192731,0.917968572705947
0.884975201984958,0.907684183364376,0.884939535334241,0.919034099139893
0.886578528434786,0.906847579385312,0.886258079489357,0.923637269504732
0.884982108647453,0.907485402119151,0.887350366039256,0.921153380680984
0.88460445040878,0.908127020378554,0.885084108659919,0.918967742930861
0.88407496496654,0.906948351346327,0.885984913161323,0.922011528147723
0.88653181524345,0.906706597426243,0.884316980325029,0.920261330636827
0.884908309166918,0.906972514163728,0.886081633118934,0.91955129560915
0.888410313612751,0.907047195104996,0.88683668026824,0.921419591405687
0.886798851673727,0.907787614740301,0.884167700441579,0.919928894443149
0.886902124332536,0.908151464024956,0.88444659354649,0.917905910472562
0.885592749323808,0.904642205581033,0.886590795417616,0.91999386565652
0.885347649254699,0.905972892822656,0.885445080813349,0.920097822947419
0.886165773751677,0.90658572470436,0.885532833000736,0.919793069041332
0.884521518709307,0.908397204844274,0.884737290356139,0.920654644737705
0.886710118712196,0.907958828311916,0.886142010098464,0.921557289003189
0.887761024818412,0.907848586419087,0.882844332932513,0.919315894965219
0.885015684208329,0.907801119818656,0.886169058648422,0.920550976390213
0.886840554142609,0.906869018960109,0.886977541980848,0.919764661823196
0.883353343782737,0.904891485975472,0.887096506259227,0.92090468318887
0.886268686069217,0.907886019105716,0.885775565347213,0.919541033912344
0.884680201622517,0.9062780313329,0.885427069819976,0.921484295033951
0.885178898401374,0.906072767415264,0.886367231572447,0.918639016043078
0.886797894091726,0.907214770381213,0.885181236148537,0.918609553696605
0.884699723290473,0.906294775792414,0.884401975086283,0.919622337398953
0.885515544354796,0.910049495247128,0.884411380960301,0.918808913391718
0.885245143491447,0.906177677471957,0.884605269040813,0.920107684148926
0.884643881212359,0.906484975580136,0.885968248256658,0.920242011488076
0.885515440288561,0.908490270405695,0.885981363033624,0.917035800553968
0.885232999172258,0.908613807145838,0.884123836555379,0.919204931910839
0.886174778633855,0.908786861191855,0.88699581522569,0.92024336642529
0.885377725081025,0.90632384817699,0.884487011200112,0.919447908013223
0.884792650261759,0.908392573158026,0.886081074352156,0.916522998739607
0.886711016409214,0.906132588825825,0.884644388962319,0.919782498649947
0.883612799048643,0.907732751670397,0.884712954673473,0.91916026902148
0.885158514231201,0.907587778221969,0.88622742622209,0.919725130342224
0.884069292123783,0.908266234202457,0.886802611061818,0.919608026109635
0.884262878511521,0.906858549887368,0.88445217166758,0.920560912831207
0.884579595211495,0.90554496702403,0.885793242226899,0.921451349264598
0.887208929464754,0.906595045307905,0.885056250338302,0.919337380371285
0.885774322596034,0.908199151154989,0.886216003777266,0.922244864111089
0.884729317126856,0.906124465130292,0.885092032359058,0.91877543609827
0.887064331425215,0.908031558444291,0.883651139833265,0.920148267898461
0.886433125012622,0.905947688895197,0.885258108756375,0.918580035723419
0.884793902392381,0.9073825404744,0.88454967994124,0.920250749070496
0.88450584391481,0.907909962732042,0.886720689725243,0.919417804075999
0.884969744322351,0.909022401311898,0.885086179813172,0.919571524970465
0.88695685660133,0.909222657415222,0.887028504869643,0.919912726888222
0.887301928198857,0.907436338533291,0.883519100072474,0.919664899229913
0.883223488563953,0.904807818964189,0.885492693611551,0.920810889835797
0.885272264894749,0.909045953817495,0.885467389301515,0.918142027600531
0.885517446424237,0.90725521989753,0.886490014577444,0.92024533170604
0.885818486628592,0.907460237810083,0.888316426309762,0.920290350094022
0.887459985064755,0.907727468862882,0.885338874675448,0.918637265017334
0.88474686227175,0.906669640115871,0.884815504464447,0.919789077735176
0.885957138764674,0.909859097548415,0.884921434637993,0.921017499462115
0.885907549445837,0.906768215680304,0.88681498343148,0.919765701342554
0.884242403779107,0.908434919639461,0.884820101247327,0.921020188504611
0.884421408608935,0.908124219648795,0.88755206814586,0.920457148983461
0.886334463243361,0.909006973253604,0.883409021190127,0.919945339758327
0.884688321786832,0.906734362114904,0.888100041978642,0.918598904198094
0.887320141784834,0.904620795700213,0.887793202459845,0.920135737408001
0.886917601570645,0.90626780456352,0.884698155820677,0.918006603519142
0.887354939820231,0.90629367161417,0.884387869643588,0.920405517326318
0.887924136524405,0.906025163062803,0.884833014524552,0.918890213272063
0.885529627808801,0.905842725092763,0.886323364389159,0.921396075615331
0.884683946850801,0.907165015100017,0.885780745192434,0.921323765693226
0.883792395796343,0.906825252774205,0.883517851596753,0.920223019600975
0.884058867423924,0.906940351655419,0.884793927046583,0.919817684926611
0.887144158176567,0.907166280976015,0.882923424816065,0.919993318572214
0.886618970230926,0.90751613119564,0.884184756398897,0.919332574032323
0.885492844540971,0.90812937722336,0.885524407546303,0.917996145585207
0.886255209446559,0.905716132810975,0.884724115298377,0.920129054895534
0.885820577744652,0.907488163542112,0.884688190957075,0.92047720156856
0.885373437311881,0.908510382415164,0.885761762032625,0.920390605529155
0.88547316798101,0.904518311830516,0.885465318632589,0.921048302536299
0.885680758835327,0.906067415293937,0.887565695483331,0.920167726094099
0.88548915592542,0.909969623648761,0.883818454776833,0.919666050152739
0.886348124202649,0.906738734499662,0.883641808923966,0.920217324610026
0.886375874370749,0.908005459379705,0.885974833127047,0.918703828547497
0.888301739033777,0.907631889458497,0.88661492488091,0.921818835745942
0.88619680960049,0.905939137163009,0.884369934720883,0.920004667814788
0.886388354753009,0.907938933188081,0.883434121405045,0.919464048213251
0.885447059913835,0.90894790352684,0.885034906781729,0.921071048614166
0.887986956035524,0.907987038941837,0.885407454959375,0.92066193854257
0.887944555112872,0.906759716634585,0.885025254162219,0.920217864543939
0.88546517502983,0.909024285126866,0.883751991763475,0.921537463831496
0.887133552585454,0.906253043583313,0.886973698745924,0.920262546261755
0.885647310962372,0.90754075703078,0.886323338551646,0.919901894044557
0.886264010774301,0.906742533427273,0.886223930503057,0.918927367926593
0.886538935930564,0.908099927060664,0.886161508361033,0.918600584109179
0.887511640663126,0.906666198943934,0.884715495878117,0.918879796888788
0.885385993258943,0.906351724638891,0.884934199630203,0.919177443053311
0.884814125161675,0.907003948919593,0.885708206957687,0.921166762448235
0.886359112496222,0.906525578410031,0.885409561018661,0.919944079481626
0.885644600457044,0.908437711276843,0.883835663627235,0.918364181184693
0.883926982293751,0.905415770739733,0.886623411337778,0.920063270264465
0.887297522524907,0.905713167072802,0.885843817360982,0.920626150641307
0.885813341287704,0.908216478798915,0.885946924581406,0.919470937526757
0.883791466937201,0.905770858848987,0.887084853883846,0.918332130780104
0.88632496605204,0.907312994284662,0.885439200734975,0.919201221283912
0.885720106337614,0.907205455889908,0.8875507602958,0.920639105766595
0.885768458105372,0.908696843327795,0.882563058229591,0.919613119884673
0.886288120517492,0.906709603166724,0.884485086498912,0.922102964223672
0.88568701429061,0.905060489043251,0.883244836635644,0.918650901832176
0.886242921714379,0.908242530989825,0.886092249081837,0.919464043393845
0.883943169366505,0.906552499941005,0.886581107069442,0.918832696395446
0.886341569576765,0.907929833276556,0.884731167235476,0.919367453569499
0.886271213831714,0.908795284479352,0.88644913708136,0.91815393254823
0.884616778837051,0.907289830132369,0.883774695074711,0.919931905034505
0.887230564480831,0.906653090246624,0.885997318490327,0.920403515344924
0.88570318846997,0.908135186831603,0.887625947302897,0.920812203211576
0.888094096143394,0.908027690110166,0.886884705269566,0.919621917724698
0.886038819626524,0.907701579165925,0.887188575190352,0.919372680586696
0.88632219049294,0.906379202802545,0.885013216937202,0.921956864404275
0.885655848767314,0.905890868735245,0.884008313222407,0.9197920571517
0.886823325346897,0.906885113069285,0.883756253661947,0.919505162734066
0.886419255808537,0.9052977109401,0.887686800699,0.92028349274761
0.885897129673179,0.907971084477072,0.884817806213752,0.921798780638023
0.887255818658531,0.90523420669321,0.885156161912507,0.919275794227816
0.885409577514274,0.907520045613034,0.884732821905333,0.91905288376497
0.88616822390066,0.905341822029578,0.885794448068619,0.920726178740543
0.884780244851135,0.907791493975839,0.883787843498956,0.918961327954633
0.88337517541748,0.906113985665265,0.884034853925293,0.921049323053697
0.887127188835364,0.908121215683501,0.8870176374322,0.918148664689521
0.884983296892817,0.905456024464314,0.88734247184129,0.921586214158244
0.88552254857209,0.906552465360636,0.884568048058992,0.919832933485754
0.884303529686136,0.907330043778343,0.887018771451548,0.919112588124381
0.885975386117761,0.906376251094049,0.886435229098461,0.919632557153215
0.884397848106454,0.905405921338864,0.885981454456603,0.918043091658787
0.88846546296867,0.90675252755337,0.884060990604055,0.920465531546274
0.882875604763706,0.90769773267031,0.887042360681801,0.92097138568883
0.884352947982139,0.907592435970146,0.884137791211238,0.921312966667465
0.885861484592942,0.907793896960386,0.884280666952307,0.918179969382497
0.88790562067754,0.906967011702097,0.885941546284027,0.921868100568638
0.884699555946729,0.908289771816944,0.885497076551384,0.917897611636089
0.884940812073318,0.906784575276085,0.884135672145064,0.919371984901377
0.885653827130998,0.906673341552779,0.885138386147309,0.920912642149691
0.885426556566627,0.905091723794336,0.882103233877765,0.91948170314657
0.886494653751714,0.908695654215598,0.886781063665592,0.918998269675855
0.885110143413255,0.906226519574375,0.886024630787668,0.920576502388385
0.885218745861256,0.905062537917002,0.884993838662277,0.918637506312045
0.886046949082376,0.906117333658927,0.88624076966812,0.920735674121677
0.887704513827678,0.906218728222979,0.884873440436546,0.921305659754763
0.884610773304185,0.907970496932569,0.886275701064426,0.919187103514476
0.884834377283986,0.906571161789404,0.887151008396027,0.917356662774446
0.886879318330561,0.905858957275868,0.886481098929002,0.917931555391067
0.885349156373251,0.905735589299528,0.885150925918689,0.919933771156176
0.886142516683238,0.907931118320555,0.88288049867774,0.920227754154853
0.885279987499704,0.908905164735699,0.884440293936773,0.918938408333224
0.887073360350918,0.907179898247812,0.886703333345513,0.919623362629483
0.883989965239542,0.907298891116297,0.88544248975614,0.920129223776291
0.885058630926004,0.906514828317958,0.884840365003572,0.919922545885829
0.884785587872956,0.905076543269962,0.882914428535918,0.920304522288215
0.885459232423975,0.906162202300868,0.884520093520288,0.920507781984406
0.885161548033613,0.906601645484502,0.883811891608898,0.919195215973454
0.88384383153902,0.907557124968931,0.886198021934731,0.920065993811717
0.882078409585516,0.908028157874613,0.885040864125384,0.920755756138021
0.887776241093726,0.907404180913315,0.882642867729677,0.920814050589376
0.887386849989779,0.908837640561261,0.88446414546174,0.920181274780564
0.886678254032988,0.90860736919903,0.886221631127264,0.920935665988743
0.887226783407198,0.906615670613085,0.88443829734268,0.918993191890558
0.886587196285588,0.908430057056614,0.887404420988686,0.919488367767772
0.885911327455361,0.905705348811945,0.88647362338127,0.92050176857427
0.887471655378578,0.908072520265078,0.884405596666184,0.918147453724926
0.885489585441671,0.907701715933198,0.88407360339982,0.919901678384993
0.885765583997979,0.906873294285681,0.884326953459192,0.919316868448762
0.884922265047707,0.908048976454865,0.885749343450714,0.918429710690803
0.885590890112211,0.905768731884954,0.88696821334581,0.920154742372745
0.885834587865505,0.909270426639367,0.883932641881629,0.919891373350308
0.883291822950271,0.907958991589171,0.887191022947311,0.922060408973085
0.885956980528102,0.90592721335204,0.88393605792569,0.92069556402975
0.887612747208231,0.907524472728611,0.886141584165282,0.91919686301883
0.885085330587299,0.905775890854894,0.886039111775355,0.918060470632256
0.886151869922801,0.908564018823437,0.88699907247859,0.920854829534493
0.886401904648389,0.906328259437365,0.884394001132561,0.920214202376129
0.887249828318313,0.906280418105458,0.885312416415477,0.920819149110969
0.885022277663532,0.90708226026985,0.884283300269732,0.921884267771657
0.885894957477016,0.906823848480762,0.884521513650598,0.920842224920023
0.884892271340635,0.906462605269628,0.88505925574308,0.919164149064651
0.885982011992319,0.905060060707027,0.884620051805199,0.920384359017177
0.886606462505313,0.906269763978836,0.885527511663905,0.919078028927735
0.886036094860979,0.904742697806151,0.886499605116257,0.918734534711147
0.884218626288581,0.90695975044235,0.885639142152558,0.920157289562827
0.887472266043698,0.905522295711776,0.886130286300549,0.918807169405489
0.886319643805202,0.90787564255295,0.886275160553436,0.923187958019402
0.886032602764329,0.907279468145734,0.883692706669988,0.919498960616679
0.886209417570179,0.906189151051738,0.88483456696997,0.918089202104932
0.885677413039129,0.906944985701051,0.887111761937001,0.921096986754616
0.885292177419164,0.905598748421513,0.885444875498362,0.917833297836682
0.887046533856969,0.908774054396792,0.883204420344387,0.91957147923164
0.886713959977436,0.907216550076855,0.885389878857276,0.91970450860215
0.884136393934141,0.907583264854895,0.884691015682889,0.920578841862763
0.883691348659607,0.908186674730787,0.882807828104952,0.921150693053785
0.883708361806093,0.908111378544415,0.885463428391954,0.920677792814423
0.887782947656051,0.905811481233119,0.884142929987194,0.919823561379147
0.884105275955853,0.905678510384082,0.887680061484975,0.919272499149761
0.885683094281768,0.90700535051432,0.884592957471613,0.918203944174
0.884606352452035,0.907302431650651,0.886041891957529,0.919270559386226
0.887092928260126,0.906731255920318,0.886963180694849,0.919256933348435
0.88729594143536,0.906236697527619,0.882615266760826,0.921488523177514
0.885574151589504,0.907385765840383,0.884608367104594,0.920146996784721
0.885370794086537,0.907187287952281,0.88559596363224,0.919722563042747
0.883621471213268,0.90709483768548,0.884015375804209,0.920358143026068
0.887193872374614,0.908268414868057,0.884448033787286,0.921218371225554
0.886728076086837,0.908276815195298,0.882214720226253,0.917070601493657
0.885577729059438,0.908303430421176,0.883682597850975,0.921732094554876
0.887167439823971,0.907209516187022,0.883250625803179,0.920289290278816
0.886198197081859,0.908923332319017,0.885827861171986,0.919679146249851
0.88434017629658,0.907001621939424,0.883975413736689,0.921057920198085
0.884183319980711,0.909055101772831,0.885635881712403,0.918512406324187
0.885088012947287,0.909345634267887,0.8853349733562,0.918545693024175
0.885722301404264,0.907316222991973,0.885689032099701,0.919505211646022
0.884025331026272,0.906672463163198,0.88653134026558,0.920231361133186
0.884434987501778,0.907650685465244,0.885197226120499,0.920315235039507
0.885919167217116,0.908665879304517,0.884862012054148,0.919348682284572
0.885557003967413,0.907058721693528,0.885182212390725,0.918052220557784
0.884804861085189,0.907030702010163,0.885949172307002,0.919375837759295
0.885578822975003,0.905837764677517,0.884727498116709,0.919473197547595
0.885417951118409,0.908194797792663,0.887869643722302,0.919069869328734
0.88501753972566,0.906202029876846,0.885279291960127,0.920017474654417
0.886217579807434,0.906468661415808,0.885252587149241,0.919554332871523
0.883599443081793,0.906444650270466,0.883859712551502,0.92034320401485
0.884959884853837,0.909548469880087,0.88657638467787,0.918701134740051
0.887542265129406,0.908287569217368,0.88522106020984,0.918876376481129
0.883469314547453,0.906972892246652,0.88566908586945,0.918794109818781
0.883786305159497,0.909129818421091,0.8848460505846,0.918273353221705
0.884417762110808,0.907858842282251,0.88580855360437,0.920488021714812
0.88830468702666,0.907914599947809,0.885114880793683,0.919639985553079
0.886472550393593,0.906490106281488,0.886426670663714,0.919770366995645
0.884711012309648,0.905976570080005,0.885148271891692,0.920838913770718
0.885581817636345,0.907254897062413,0.884714396478393,0.918007253040631
0.885140681349282,0.905541012659448,0.88272926777859,0.918983585551962
0.881098608238446,0.908070235658425,0.88344911963229,0.922137225768919
0.886851407114033,0.907152701541015,0.884589565748462,0.919833210670347
0.889234077629349,0.905927372244079,0.885504133717312,0.921451252283175
0.885249303363849,0.906814007047321,0.88365980010289,0.92079627758686
0.886650537747509,0.90642221286502,0.886095021118736,0.920324828010671
0.884996079305181,0.906800379541809,0.883998485919075,0.921318057242543
0.886842093401236,0.909716593474318,0.885082342399651,0.919317391383133
0.885822528199122,0.907028466577986,0.885309344917352,0.919956260167522
0.886336175855135,0.906157122593648,0.887439813114961,0.91831262447753
0.885883783528672,0.907006779157014,0.885402805391965,0.920377773861213
0.884356489424625,0.905225606391627,0.885595015759733,0.92007449125568
0.885504623704212,0.906317891856769,0.884469831495044,0.919577941757195
0.888233757658877,0.904826878821977,0.886282686551902,0.920084583877329
0.885651333301187,0.906635203557763,0.885147617666341,0.920224986658243
0.884518267662912,0.905870618981919,0.885805362263015,0.920043847499573
0.885588623518037,0.907899714129385,0.884517422768144,0.921081701898126
0.884557536821809,0.910178144193606,0.884560742798233,0.917808129048593
